movie_title,release_date,genre
Deadpool 2,18-May-18,"Action,Adventure,Sci-Fi,Comedy"
Harry Potter and the Deathly Hallows: Part I,19-Nov-10,"Action,Adventure,Mystery,Fantasy"
21 Jump Street,16-Mar-12,"Action,Comedy,Crime"
The Incredible Hulk,13-Jun-08,"Action,Sci-Fi,Thriller"
"Three Billboards Outside Ebbing, Missouri",10-Nov-17,"Drama,Comedy,Crime"
Lincoln,9-Nov-12,"Biography,Drama,History,War"
Shaun of the Dead,24-Sep-04,"Horror,Comedy"
Rush,20-Sep-13,"Action,Biography,Drama,Sport"
The Maze Runner,19-Sep-14,"Action,Sci-Fi,Mystery,Thriller"
Your Name.,7-Apr-17,"Drama,Fantasy,Romance,Animation"
Men in Black III,25-May-12,"Action,Sci-Fi,Comedy"
The Usual Suspects,16-Aug-95,"Mystery,Thriller,Crime"
Million Dollar Baby,15-Dec-04,"Drama,Sport"
Catch Me If You Can,25-Dec-02,"Biography,Drama,Comedy,Crime"
Before Midnight,24-May-13,"Drama,Romance"
Heat,15-Dec-95,"Drama,Thriller,Crime"
Steve Jobs,9-Oct-15,"Biography,Drama"
City of God,17-Jan-03,"Drama,Crime"
Machete,3-Sep-10,"Action,Adventure,Thriller,Comedy,Crime"
The Adjustment Bureau,4-Mar-11,"Sci-Fi,Thriller,Romance"
Death Note,25-Aug-17,"Action,Adventure,Drama,Mystery,Thriller,Fantasy,Horror,Crime"
Falling Down,26-Feb-93,"Drama,Thriller,Crime"
The Guest,17-Sep-14,"Action,Mystery,Thriller"
Walk the Line,18-Nov-05,"Biography,Drama,Romance,Music"
Taken 2,5-Oct-12,"Action,Drama,Thriller,Crime"
The Road,25-Nov-09,"Adventure,Drama,Thriller"
Crank,1-Sep-06,"Action,Drama,Thriller,Crime"
Bee Movie,2-Nov-07,"Adventure,Comedy,Animation,Family"
The Magnificent Seven,23-Sep-16,"Action,Adventure,Western"
Beasts of the Southern Wild,27-Jun-12,"Drama,Fantasy"
G.I. Joe: Retaliation,29-Mar-13,"Action,Adventure,Sci-Fi,Thriller"
Saving Mr. Banks,13-Dec-13,"Biography,Drama,History,Comedy,Music,Family"
Cars 3,16-Jun-17,"Adventure,Sport,Comedy,Animation,Family"
A Serious Man,2-Oct-09,Drama
Upgrade,1-Jun-18,"Action,Sci-Fi,Thriller,Horror,Comedy"
Battlefield Earth: A Saga of the Year 3000,12-May-00,"Action,Sci-Fi"
Madagascar,27-May-05,"Adventure,Comedy,Animation,Family"
Ultraviolet,3-Mar-06,"Action,Sci-Fi"
Blade: Trinity,8-Dec-04,"Action,Adventure,Thriller,Fantasy"
You Were Never Really Here,6-Apr-18,"Drama,Mystery,Thriller"
The Salesman,27-Jan-17,"Drama,Thriller"
Poltergeist,22-May-15,"Thriller,Horror"
Paul Blart: Mall Cop,16-Jan-09,"Action,Comedy,Crime,Family"
Bad Times at the El Royale,12-Oct-18,"Drama,Mystery,Thriller,Horror,Crime"
The Assassination of Jesse James by the Coward Robert Ford,21-Sep-07,"Biography,Drama,History,Crime,Western"
2 Guns,2-Aug-13,"Action,Drama,Thriller,Comedy,Crime"
St. Vincent,10-Oct-14,"Drama,Comedy"
"The Way, Way Back",5-Jul-13,"Drama,Comedy"
Wonder,17-Nov-17,"Drama,Family"
Out of the Furnace,4-Dec-13,"Drama,Thriller,Crime"
This Is It,28-Oct-09,"Music,Documentary"
Safe,23-Jun-95,Drama
Shanghai Noon,26-May-00,"Action,Adventure,Comedy,Western"
The Lincoln Lawyer,18-Mar-11,Drama
The Deer Hunter,8-Dec-78,"Drama,War"
17 Again,17-Apr-09,"Drama,Comedy,Romance"
Team America: World Police,15-Oct-04,"Action,Adventure,Comedy"
American Pie 2,10-Aug-01,"Comedy,Romance"
Money Monster,13-May-16,"Drama,Mystery,Thriller,Crime"
Detroit,28-Jul-17,"Drama,History,Thriller,Crime"
Spy Kids,30-Mar-01,"Action,Adventure,Sci-Fi,Comedy,Family"
Epic,24-May-13,"Adventure,Fantasy,Comedy,Animation,Family"
We Bought a Zoo,23-Dec-11,"Drama,Comedy"
Vampires Suck,18-Aug-10,Comedy
Seventh Son,6-Feb-15,"Action,Adventure,Fantasy,Family"
Doubt,12-Dec-08,"Drama,Mystery"
Carnage,16-Dec-11,"Drama,Comedy"
World Trade Center,9-Aug-06,"Drama,History"
Maggie,8-May-15,"Drama,Thriller,Fantasy,Horror"
Upstream Color,5-Apr-13,"Sci-Fi,Drama"
The Dilemma,14-Jan-11,"Drama,Comedy"
Cold War,21-Dec-18,"Drama,Romance,Music"
Triple 9,26-Feb-16,"Action,Drama,Thriller,Crime"
The Mule,14-Dec-18,"Drama,Mystery,Thriller,Crime"
Edge of Darkness,29-Jan-10,"Drama,Thriller,Crime"
101 Dalmatians,27-Nov-96,"Adventure,Comedy,Family"
Mommy,23-Jan-15,Drama
Semi-Pro,29-Feb-08,"Sport,Comedy"
Pride and Prejudice and Zombies,5-Feb-16,"Action,Thriller,Horror,Comedy,Romance"
Grosse Pointe Blank,11-Apr-97,"Thriller,Comedy,Romance,Crime"
Ginger Snaps,26-Oct-01,"Drama,Horror"
Meet Joe Black,13-Nov-98,"Drama,Mystery,Fantasy,Romance"
Force Majeure,24-Oct-14,"Drama,Comedy"
Trollhunter,10-Jun-11,"Action,Adventure,Drama,Thriller,Horror"
The DUFF,20-Feb-15,Comedy
Tangerine,10-Jul-15,"Drama,Comedy"
Legally Blonde,13-Jul-01,Comedy
Seed of Chucky,12-Nov-04,"Thriller,Horror,Comedy"
Annie Hall,20-Apr-77,"Drama,Comedy,Romance"
Mr. Bean's Vacation,24-Aug-07,"Comedy,Family"
Gulliver's Travels,25-Dec-10,"Adventure,Comedy"
I Feel Pretty,20-Apr-18,Comedy
The Savages,28-Nov-07,"Drama,Comedy"
Dead Man,10-May-96,"Drama,Fantasy,Western"
Superbabies: Baby Geniuses 2,27-Aug-04,"Comedy,Family"
The Hate U Give,5-Oct-18,"Drama,Crime"
Yogi Bear,17-Dec-10,"Adventure,Comedy,Animation,Family"
After Hours,13-Sep-85,"Thriller,Comedy"
3000 Miles to Graceland,23-Feb-01,"Action,Thriller,Comedy,Crime"
American Animals,1-Jun-18,"Drama,Crime"
Away We Go,5-Jun-09,"Drama,Comedy,Romance"
Bring It On,25-Aug-00,"Sport,Comedy"
Flatliners,29-Sep-17,"Sci-Fi,Drama,Thriller,Horror"
Going in Style,7-Apr-17,"Comedy,Crime"
Don't Think Twice,22-Jul-16,"Drama,Comedy"
The Old Man & the Gun,28-Sep-18,"Drama,Comedy,Crime"
Shortbus,4-Oct-06,"Drama,Romance"
12 Rounds,27-Mar-09,"Action,Thriller,Crime"
Balls of Fury,29-Aug-07,"Action,Sport,Comedy,Romance,Crime"
Barbershop: The Next Cut,15-Apr-16,Comedy
Hold the Dark,28-Sep-18,"Adventure,Drama,Mystery,Thriller,Horror"
Serenity,25-Jan-19,"Sci-Fi,Drama,Mystery,Thriller"
Platoon,6-Feb-87,"Drama,War"
Anonymous,28-Oct-11,Drama
The Flintstones,27-May-94,"Comedy,Crime,Family"
Hard Eight,28-Feb-97,"Drama,Thriller,Crime"
The Age of Innocence,17-Sep-93,"Drama,Romance"
Spy Game,21-Nov-01,"Action,Thriller,Crime"
The Tale of Despereaux,19-Dec-08,"Adventure,Fantasy,Comedy,Animation,Family"
Paranoia,16-Aug-13,"Drama,Thriller"
Malcolm X,18-Nov-92,"Biography,Drama,History"
Pollock,15-Dec-00,"Biography,Drama"
Stand by Me,22-Aug-86,"Adventure,Drama"
Departures,29-May-09,"Drama,Comedy,Music"
The Tall Man,31-Aug-12,"Drama,Mystery,Thriller,Horror,Crime"
An American Haunting,5-May-06,"Mystery,Thriller,Horror"
Bratz,3-Aug-07,"Comedy,Music,Family"
You Will Meet a Tall Dark Stranger,22-Sep-10,"Comedy,Romance"
Admission,22-Mar-13,"Drama,Comedy,Romance"
Eye of the Beholder,28-Jan-00,"Mystery,Thriller"
Love Is Strange,22-Aug-14,Drama
Sleeping Beauty,2-Dec-11,Drama
The Doors,1-Mar-91,"Biography,Drama,Music"
In the Mix,23-Nov-05,"Comedy,Romance,Crime,Music"
Space Cowboys,4-Aug-00,"Adventure,Thriller"
We Are the Best!,30-May-14,Drama
This Must Be the Place,2-Nov-12,"Drama,Comedy"
Taking Woodstock,26-Aug-09,"Drama,Comedy,Music"
Crimson Tide,12-May-95,"Action,Drama,Thriller"
3-Iron,29-Apr-05,"Drama,Romance,Crime"
Damsels in Distress,6-Apr-12,"Drama,Comedy,Romance"
Eating Out 2: Sloppy Seconds,24-Nov-06,"Comedy,Romance"
Third Person,20-Jun-14,"Drama,Romance"
Infinitely Polar Bear,19-Jun-15,"Drama,Comedy"
Sleepless,13-Jan-17,"Action,Thriller,Crime"
Late Night,7-Jun-19,"Drama,Comedy"
Maid in Manhattan,13-Dec-02,"Drama,Comedy,Romance"
Thief,27-Mar-81,"Action,Drama,Thriller,Crime"
Spider,20-Dec-02,"Drama,Mystery"
Taxi to the Dark Side,18-Jan-08,"Crime,War,Documentary"
Cam,16-Nov-18,"Mystery,Thriller,Horror"
Belle,2-May-14,Drama
ATL,31-Mar-06,"Drama,Comedy,Romance,Crime,Music"
Venus,21-Dec-06,"Drama,Comedy,Romance"
Genius,10-Jun-16,"Biography,Drama"
Capturing the Friedmans,30-May-03,"Biography,Mystery,Crime,Documentary"
Border,26-Oct-18,"Drama,Thriller,Fantasy,Romance"
Starman,14-Dec-84,"Adventure,Sci-Fi,Drama,Romance"
Merry Christmas,3-Mar-06,"Drama,Romance,War,Music"
Bride & Prejudice,11-Feb-05,"Drama,Comedy,Romance,Musical"
Fantasia,13-Nov-40,"Fantasy,Music,Animation,Family"
Miss Pettigrew Lives for a Day,7-Mar-08,"Comedy,Romance"
Berlin Syndrome,26-May-17,"Drama,Mystery,Thriller,Horror"
Severance,18-May-07,"Thriller,Horror,Comedy"
The In Crowd,19-Jul-00,"Drama,Mystery,Thriller"
Fateless,6-Jan-06,Drama
Pina,23-Dec-11,"Musical,Documentary"
Stealing Harvard,13-Sep-02,"Drama,Comedy,Crime"
Double Indemnity,6-Jul-44,"Drama,Mystery,Thriller,Crime,Film-Noir"
Graduation,7-Apr-17,"Drama,Crime"
Sweet and Lowdown,3-Dec-99,"Comedy,Music"
Pathology,18-Apr-08,"Thriller,Horror,Crime"
Hours,13-Dec-13,"Drama,Thriller"
Fallen Angels,30-Jan-98,"Drama,Comedy,Romance,Crime"
Cold Souls,7-Aug-09,"Drama,Comedy"
Intruders,30-Mar-12,"Thriller,Horror"
Flame and Citron,31-Jul-09,"Drama,History,Thriller,Crime,War"
On Her Majesty's Secret Service,19-Dec-69,"Action,Adventure,Thriller"
Reversal of Fortune,17-Oct-90,"Drama,Mystery"
The Muppet Movie,22-Jun-79,"Adventure,Comedy,Family,Musical"
The Party,16-Feb-18,"Drama,Comedy"
47 Meters Down: Uncaged,16-Aug-19,"Adventure,Drama,Thriller,Horror"
Sweet Country,6-Apr-18,"Adventure,Drama,History,Thriller,Crime,Western"
Every Day,23-Feb-18,"Drama,Fantasy,Romance"
Talk to Me,13-Jul-07,"Biography,Drama,History,War,Music"
Mesrine: Killer Instinct,27-Aug-10,"Action,Biography,Drama,Thriller,Crime"
Manito,13-Jun-03,"Drama,Family"
Don Juan DeMarco,7-Apr-95,"Drama,Comedy,Romance"
Spread,14-Aug-09,"Drama,Comedy,Romance"
The Dark Crystal,17-Dec-82,"Adventure,Fantasy,Family"
Below,11-Oct-02,"Mystery,Thriller,Horror"
For Your Eyes Only,26-Jun-81,"Action,Adventure,Thriller"
We Don't Live Here Anymore,13-Aug-04,"Drama,Romance"
A Dog's Way Home,11-Jan-19,"Adventure,Drama,Family"
The Sacrament,6-Jun-14,"Thriller,Horror"
Moonraker,29-Jun-79,"Action,Adventure,Sci-Fi,Thriller"
Naked Gun 33 1/3: The Final Insult,18-Mar-94,"Comedy,Crime"
Good People,26-Sep-14,"Action,Thriller,Crime"
Midnight Sun,23-Mar-18,"Drama,Romance"
We Steal Secrets: The Story of WikiLeaks,24-May-13,"Comedy,Documentary"
American Hardcore,22-Sep-06,"Music,Documentary"
The Naked Gun 2½: The Smell of Fear,28-Jun-91,"Comedy,Crime"
The Hunting Party,7-Sep-07,"Adventure,Drama,Thriller,Comedy,War"
The Wind Will Carry Us,28-Jul-00,Drama
The Hunchback of Notre Dame,21-Jun-96,"Drama,Romance,Animation,Family,Musical"
"Planes, Trains & Automobiles",25-Nov-87,Comedy
African Cats,22-Apr-11,Documentary
Baggage Claim,27-Sep-13,Comedy
Moolaadé,15-Oct-04,Drama
Lorna's Silence,31-Jul-09,Drama
Calibre,29-Jun-18,Thriller
The King of Comedy,18-Feb-83,"Drama,Thriller,Comedy,Crime"
Nostalgia for the Light,18-Mar-11,"Drama,Documentary"
The First Wives Club,20-Sep-96,Comedy
Cujo,12-Aug-83,"Thriller,Horror"
You're Not You,10-Oct-14,Drama
The Other Side of Hope,1-Dec-17,"Drama,Comedy"
For the Bible Tells Me So,5-Oct-07,Documentary
"Good Morning, Vietnam",15-Jan-88,"Biography,Drama,Comedy,War"
Damsel,22-Jun-18,"Drama,Comedy,Western"
Flawless,28-Mar-08,"Drama,Thriller,Crime"
The Comedian,3-Feb-17,Comedy
A Band Called Death,28-Jun-13,Documentary
Journey's End,16-Mar-18,"Drama,War"
Puzzle,27-Jul-18,Drama
Avenue Montaigne,16-Feb-07,"Drama,Comedy,Romance"
Crocodile Dundee,26-Sep-86,"Adventure,Comedy"
The Program,18-Mar-16,"Biography,Drama,Sport"
City Lights,7-Mar-31,"Drama,Comedy,Romance"
At the Height of Summer,6-Jul-01,Drama
It's a Disaster,12-Apr-13,"Drama,Comedy"
Daydream Nation,6-May-11,"Drama,Romance"
The Benefactor,15-Jan-16,Drama
A Case of You,6-Nov-13,"Comedy,Romance"
Non-Fiction,3-May-19,"Drama,Comedy,Romance"
Always Shine,25-Nov-16,Thriller
A Brave Heart: The Lizzie Velasquez Story,25-Sep-15,"Biography,Family,Documentary"
Saving Face,27-May-05,"Drama,Comedy,Romance"
Screamers,8-Dec-06,"Music,Documentary"
Martyrs,22-Jan-16,"Drama,Thriller,Horror"
Under the Sand,4-May-01,"Drama,Mystery"
Western,16-Feb-18,Drama
Light of My Life,9-Aug-19,Drama
What Keeps You Alive,24-Aug-18,"Thriller,Horror"
Off the Black,8-Dec-06,Drama
A Star Is Born,17-Dec-76,"Drama,Romance,Music"
Jack and Diane,2-Nov-12,"Drama,Horror,Romance"
Margaret Cho: Assassin,2-Sep-05,"Comedy,War"
Concert for George,3-Oct-03,"Music,Documentary"
El Angel,9-Nov-18,"Biography,Drama,Crime"
Dog Pound,29-Mar-13,Drama
The Virginity Hit,10-Sep-10,Comedy
Yadon ilaheyya,17-Jan-03,"Drama,Comedy,Romance,War"
Alive Inside,18-Jul-14,"Documentary,News"
Fried Green Tomatoes,24-Jan-92,Drama
Eden,20-Mar-13,Drama
Maverick,20-May-94,"Action,Adventure,Thriller,Comedy,Western"
The Isle,23-Aug-02,Drama
Jet Lag,13-Jun-03,"Comedy,Romance"
3 Faces,8-Mar-19,Drama
Little Otik,19-Dec-01,"Drama,Thriller,Fantasy,Horror,Comedy,Animation"
The Cave of the Yellow Dog,10-Nov-06,Drama
Prevenge,24-Mar-17,"Drama,Thriller,Fantasy,Horror,Comedy"
Smoke,9-Jun-95,"Drama,Comedy"
Bombshell: The Hedy Lamarr Story,24-Nov-17,"Biography,History,War,Documentary"
The Good Thief,2-Apr-03,"Drama,Thriller,Crime"
Carancho,11-Feb-11,"Drama,Thriller,Romance,Crime"
Come Early Morning,10-Nov-06,"Drama,Romance"
Finding Your Feet,30-Mar-18,"Drama,Comedy,Romance"
The Runner,7-Aug-15,Drama
Bad Johnson,2-May-14,"Fantasy,Comedy"
The White Diamond,1-Jun-05,"Adventure,Documentary"
The Silence,8-Mar-13,"Drama,Thriller,Crime"
Watermark,4-Apr-14,Documentary
The Motel Life,8-Nov-13,"Drama,Mystery,Thriller"
Great Expectations,8-Nov-13,"Drama,Romance"
Lola Versus,8-Jun-12,Comedy
The Weight of Water,1-Nov-02,"Mystery,Thriller"
The Boy,14-Aug-15,"Drama,Thriller,Horror"
Jesus Henry Christ,20-Apr-12,Comedy
Nature Calls,9-Nov-12,Comedy
Welcome to Sarajevo,26-Nov-97,"Drama,War"
The Tao of Steve,4-Aug-00,"Drama,Comedy,Romance"
People Places Things,14-Aug-15,Comedy
Memories of Tomorrow,18-May-07,Drama
Lunacy,9-Aug-06,Horror
Too Late,18-Mar-16,Drama
Last Weekend,29-Aug-14,"Drama,Comedy"
Hellions,18-Sep-15,Horror
"I Travel Because I Have to, I Come Back Because I Love You",25-Mar-11,Drama
Lifeboat,28-Jan-44,"Drama,War"
Knafayim Shvurot,12-Mar-04,Drama
Paris 05:59: Théo & Hugo,27-Jan-17,"Drama,Romance"
Monkey Shines,29-Jul-88,"Sci-Fi,Drama,Thriller,Horror"
The Syrian Bride,16-Nov-05,"Drama,Comedy"
Waging a Living,22-Jun-05,Documentary
The Cuckoo,11-Jul-03,"Drama,Comedy,War"
The Other F Word,2-Nov-11,"Drama,Comedy,Music,Documentary"
Bang Rajan,6-Aug-04,"Action,Drama,History,War"
Tuvalu,7-Dec-01,"Drama,Comedy,Romance"
Danny Deckchair,11-Aug-04,"Comedy,Romance"
Taxman,17-Sep-99,"Action,Thriller,Comedy,Crime"
The Next Karate Kid,9-Sep-94,"Action,Drama,Sport,Romance,Family"
Manny,23-Jan-15,"Drama,Sport,Documentary"
The Big Risk,18-Nov-05,"Drama,Thriller,Romance,Crime"
Eureka,4-May-01,Drama
Bliss,7-Aug-09,Drama
Home Movie,3-May-02,Documentary
Crown Heights,18-Aug-17,"Biography,Drama,Romance,Crime"
Two Lovers and a Bear,16-Dec-16,"Drama,Romance"
Monster Hunt,22-Jan-16,"Action,Fantasy,Comedy"
She's One of Us,21-Jan-05,Drama
Lucas,28-Mar-86,"Drama,Comedy,Romance"
Beauty in Trouble,13-Jun-08,"Drama,Comedy"
The Dirty Dozen,15-Jun-67,"Action,Adventure,War"
Trumbo,27-Jun-08,"Biography,Documentary"
The Prisoner or: How I Planned to Kill Tony Blair,23-Mar-07,Documentary
Flow: For Love of Water,12-Sep-08,Documentary
Bonjour Monsieur Shlomi,2-Jul-04,"Drama,Comedy"
Captive,10-Nov-06,Drama
Red Dawn,10-Aug-84,"Action,Drama"
Evelyn,13-Dec-02,Drama
Big Sur,1-Nov-13,Drama
Constellation,2-Feb-07,Drama
3 Ninjas Kick Back,6-May-94,"Action,Comedy,Family"
All Quiet on the Western Front,24-Aug-30,"Drama,War"
Screwball,29-Mar-19,Documentary
Arthur,17-Jul-81,"Comedy,Romance"
Above and Beyond,30-Jan-15,"Adventure,History,War,Documentary"
Scotty and the Secret History of Hollywood,27-Jul-18,Documentary
The Grand,21-Mar-08,Comedy
The Woman on the 6th Floor,7-Oct-11,Comedy
Lies,17-Nov-00,Drama
Angel of Mine,30-Aug-19,"Drama,Mystery,Thriller"
Tasting Menu,18-Apr-14,Comedy
The Best and the Brightest,24-Jun-11,Comedy
Doctor Strange,4-Nov-16,"Action,Adventure,Sci-Fi,Fantasy"
Guardians of the Galaxy Vol. 2,5-May-17,"Action,Adventure,Sci-Fi,Comedy"
Ratatouille,29-Jun-07,"Fantasy,Comedy,Animation,Family"
Pacific Rim,12-Jul-13,"Action,Adventure,Sci-Fi,Fantasy"
Star Wars: Episode I - The Phantom Menace,19-May-99,"Action,Adventure,Sci-Fi,Fantasy"
Get Out,24-Feb-17,"Mystery,Thriller,Horror,Comedy"
Titanic,19-Dec-97,"Drama,Romance"
Nightcrawler,31-Oct-14,"Drama,Thriller,Crime"
Rise of the Planet of the Apes,5-Aug-11,"Action,Adventure,Sci-Fi"
The Witch,19-Feb-16,"Mystery,Horror"
Serenity,30-Sep-05,"Action,Adventure,Sci-Fi,Thriller"
Terminator 3: Rise of the Machines,2-Jul-03,"Action,Sci-Fi,Thriller"
RoboCop,12-Feb-14,"Action,Sci-Fi,Thriller,Crime"
Sausage Party,12-Aug-16,"Adventure,Fantasy,Comedy,Animation"
The Adventures of Tintin,21-Dec-11,"Adventure,Mystery,Animation,Family"
Despicable Me 2,3-Jul-13,"Adventure,Sci-Fi,Comedy,Crime,Animation,Family"
Kung Fu Panda,6-Jun-08,"Action,Comedy,Animation,Family"
First Man,12-Oct-18,"Biography,Drama,History"
8 Mile,8-Nov-02,"Drama,Music"
Kung Fu Panda 2,26-May-11,"Action,Adventure,Comedy,Animation,Family"
Green Book,16-Nov-18,"Biography,Drama,History,Comedy,Music"
Nocturnal Animals,18-Nov-16,"Drama,Thriller"
Scary Movie,7-Jul-00,Comedy
Clash of the Titans,1-Apr-10,"Action,Adventure,Drama,Fantasy"
Under the Skin,4-Apr-14,"Sci-Fi,Drama,Thriller,Horror"
Minority Report,21-Jun-02,"Action,Sci-Fi,Mystery,Thriller"
Foxcatcher,14-Nov-14,"Biography,Drama,Sport,Thriller"
In Time,28-Oct-11,"Sci-Fi,Thriller"
Blue Is the Warmest Color,25-Oct-13,"Drama,Romance"
The Golden Compass,7-Dec-07,"Adventure,Fantasy,Family"
The Dark Tower,4-Aug-17,"Action,Adventure,Sci-Fi,Fantasy,Horror,Western"
Warm Bodies,1-Feb-13,"Drama,Horror,Comedy,Romance"
Final Destination 2,31-Jan-03,"Thriller,Horror"
Unknown,18-Feb-11,"Drama,Mystery,Thriller"
Miss Peregrine's Home for Peculiar Children,30-Sep-16,"Adventure,Drama,Fantasy,Family"
Chef,9-May-14,Comedy
Predestination,9-Jan-15,"Action,Sci-Fi,Drama,Mystery,Thriller"
Logan Lucky,18-Aug-17,"Drama,Comedy,Crime"
Speed,10-Jun-94,"Action,Thriller"
Menace II Society,26-May-93,"Drama,Crime"
Miami Vice,28-Jul-06,"Action,Drama,Thriller,Crime"
Lights Out,22-Jul-16,"Thriller,Fantasy,Horror"
Independence Day,3-Jul-96,"Action,Adventure,Sci-Fi,Thriller"
The Divergent Series: Allegiant,18-Mar-16,"Action,Adventure,Sci-Fi,Mystery,Thriller,Romance"
Baywatch,25-May-17,"Action,Drama,Comedy"
Cloudy with a Chance of Meatballs,18-Sep-09,"Comedy,Animation,Family"
Capote,30-Sep-05,"Biography,Drama,Crime"
Casablanca,23-Jan-43,"Drama,Romance,War"
National Treasure: Book of Secrets,21-Dec-07,"Action,Adventure,Mystery,Thriller,Comedy"
Hotel Rwanda,22-Dec-04,"Drama,History,Thriller,War"
Priest,13-May-11,"Action,Thriller,Horror"
"O Brother, Where Art Thou?",22-Dec-00,"Adventure,Comedy,Crime,Music"
Daybreakers,8-Jan-10,"Action,Sci-Fi,Drama,Thriller,Fantasy,Horror"
xXx,9-Aug-02,"Action,Adventure,Thriller,Crime"
Zack and Miri Make a Porno,31-Oct-08,"Drama,Comedy,Romance"
Evan Almighty,22-Jun-07,"Fantasy,Comedy,Family"
Big Eyes,25-Dec-14,"Biography,Drama"
Sorry to Bother You,6-Jul-18,"Sci-Fi,Fantasy,Comedy"
The Hills Have Eyes,10-Mar-06,"Thriller,Horror"
Jack Reacher: Never Go Back,21-Oct-16,"Action,Adventure,Drama,Mystery,Thriller,Crime"
The Men Who Stare at Goats,6-Nov-09,"Comedy,War"
The Campaign,10-Aug-12,Comedy
A Christmas Story,18-Nov-83,"Comedy,Family"
Hall Pass,25-Feb-11,Comedy
First Reformed,18-May-18,"Drama,Thriller"
Paterson,28-Dec-16,"Drama,Comedy,Romance"
Couples Retreat,9-Oct-09,Comedy
Poseidon,12-May-06,"Action,Adventure,Thriller"
Colombiana,26-Aug-11,"Action,Adventure,Drama,Thriller"
The Skin I Live In,14-Oct-11,Drama
About Schmidt,13-Dec-02,"Drama,Comedy"
Midnight Run,20-Jul-88,"Action,Adventure,Thriller,Comedy,Crime"
27 Dresses,18-Jan-08,"Comedy,Romance"
20th Century Women,28-Dec-16,"Drama,Comedy"
Gerald's Game,29-Sep-17,"Drama,Thriller,Horror"
The East,31-May-13,"Action,Drama,Mystery,Thriller"
Elektra,14-Jan-05,"Action,Adventure,Fantasy"
The Naked Gun: From the Files of Police Squad!,2-Dec-88,"Action,Comedy,Romance,Crime"
Bucky Larson: Born to Be a Star,9-Sep-11,Comedy
A Prairie Home Companion,9-Jun-06,"Drama,Comedy,Music,Musical"
Singin' in the Rain,11-Apr-52,"Comedy,Romance,Musical"
Big,3-Jun-88,"Drama,Fantasy,Comedy,Romance,Family"
Annabelle Comes Home,26-Jun-19,"Mystery,Thriller,Horror"
Magic in the Moonlight,25-Jul-14,"Drama,Comedy,Romance"
Snitch,22-Feb-13,"Action,Drama,Thriller"
The Loft,30-Jan-15,Thriller
Erin Brockovich,17-Mar-00,"Biography,Drama,Romance"
12 Strong,19-Jan-18,"Action,Drama,History,War"
The Grinch,9-Nov-18,"Drama,Fantasy,Comedy,Animation,Family,Musical"
Star Trek: First Contact,22-Nov-96,"Action,Adventure,Sci-Fi,Thriller"
Morning Glory,10-Nov-10,"Drama,Comedy,Romance"
Boys Don't Cry,8-Oct-99,"Drama,Romance,Crime"
A Girl Walks Home Alone at Night,21-Nov-14,"Thriller,Horror,Romance"
Headhunters,27-Apr-12,"Action,Thriller,Crime"
Ferdinand,15-Dec-17,"Adventure,Fantasy,Comedy,Animation,Family"
Phoenix,24-Jul-15,"Drama,History"
In the Valley of Elah,14-Sep-07,"Drama,Mystery,Thriller,Crime"
The Scorpion King,19-Apr-02,"Action,Adventure,Thriller,Fantasy,Romance"
Ricki and the Flash,7-Aug-15,"Drama,Comedy,Music,Musical"
The Watcher,8-Sep-00,"Mystery,Thriller,Crime"
Four Lions,5-Nov-10,"Drama,Comedy"
Hop,1-Apr-11,Comedy
Ernest & Célestine,28-Feb-14,"Drama,Comedy,Animation,Family"
Obvious Child,6-Jun-14,"Comedy,Romance"
Bend It Like Beckham,12-Mar-03,"Drama,Sport,Comedy,Romance"
Amistad,10-Dec-97,"Drama,History,Mystery"
Race,19-Feb-16,"Biography,Drama,Sport"
True Story,17-Apr-15,"Drama,Mystery,Thriller"
American Splendor,15-Aug-03,"Biography,Drama,Comedy"
Millions,11-Mar-05,"Drama,Comedy,Crime,Family"
Rampart,10-Feb-12,"Action,Drama,Thriller,Crime"
All About Eve,27-Oct-50,Drama
Coriolanus,2-Dec-11,"Drama,History,Thriller"
A Civil Action,25-Dec-98,Drama
The Stanford Prison Experiment,17-Jul-15,"Drama,Thriller"
The Great Debaters,25-Dec-07,"Biography,Drama"
Around the World in 80 Days,16-Jun-04,"Action,Adventure,Comedy,Romance,Western,Family"
The Purple Rose of Cairo,2-May-85,"Drama,Fantasy,Comedy,Romance"
Unfinished Business,6-Mar-15,Comedy
Dave Chappelle's Block Party,3-Mar-06,"Comedy,Music,Documentary"
The Big Year,14-Oct-11,Comedy
Body Heat,28-Aug-81,"Drama,Thriller,Crime"
Tangerines,17-Apr-15,"Drama,History,War"
Working Girl,23-Dec-88,"Drama,Comedy,Romance"
Conviction,15-Oct-10,"Biography,Drama,Thriller"
That Thing You Do!,4-Oct-96,"Drama,Comedy,Music"
Dom Hemingway,2-Apr-14,"Drama,Comedy,Crime"
The Little Mermaid,17-Nov-89,"Fantasy,Romance,Animation,Family,Musical"
Oliver Twist,23-Sep-05,"Drama,Family"
The Salvation,27-Feb-15,"Drama,Western"
Meet Dave,11-Jul-08,"Adventure,Sci-Fi,Comedy,Romance,Family"
The Sweet Hereafter,21-Nov-97,Drama
Prince Avalanche,9-Aug-13,"Drama,Comedy"
The Sea Inside,17-Dec-04,"Biography,Drama"
Space Jam,15-Nov-96,"Adventure,Sci-Fi,Sport,Fantasy,Comedy,Animation,Family"
