movie_title,release_date,genre
3 Dancing Slaves,2-Sep-05,Drama
White on Rice,11-Sep-09,Comedy
Rosencrantz and Guildenstern Are Undead,4-Jun-10,Comedy
Where Hands Touch,14-Sep-18,"Drama,Romance,War"
Dough,29-Apr-16,"Drama,Comedy"
The Closer You Get,25-Feb-00,Comedy
The Young Unknowns,11-Apr-03,Drama
Breaking the Girls,26-Jul-13,"Thriller,Crime"
Midnight Eagle,23-Nov-07,Action
Killerman,30-Aug-19,"Action,Drama,Mystery,Thriller,Crime"
The Toxic Avenger,11-Apr-86,"Action,Sci-Fi,Horror,Comedy"
White Rabbit,13-Feb-15,Drama
A Dark Place,12-Apr-19,"Mystery,Thriller"
Sal,1-Nov-13,"Biography,Drama"
Being Frank,14-Jun-19,Comedy
Sarah Palin: You Betcha!,30-Sep-11,Documentary
Hate Crime,16-Mar-06,"Drama,Mystery,Thriller,Crime"
Never Been Thawed,7-Oct-05,Comedy
The Forgiven,9-Mar-18,Thriller
Ceremony,8-Apr-11,Comedy
Nightbreed,16-Feb-90,"Action,Fantasy,Horror"
From the Land of the Moon,28-Jul-17,"Drama,Romance"
Twist,21-May-04,Drama
Confusion of Genders,4-Jul-03,"Drama,Comedy,Romance"
Psychopaths,1-Dec-17,Horror
Stardom,27-Oct-00,"Drama,Comedy"
Swing,18-Jun-04,"Fantasy,Comedy,Romance"
Action Jackson,12-Feb-88,"Action,Thriller,Comedy,Crime"
Circuit,26-Apr-02,Drama
We'll Never Have Paris,22-Jan-15,"Comedy,Romance"
Being Human,6-May-94,"Drama,Fantasy,Comedy"
Amnesiac,14-Aug-15,"Drama,Mystery,Thriller,Horror"
The Christmas Candle,22-Nov-13,Drama
The 11th Hour,12-Jun-15,"Drama,Thriller"
6 Month Rule,1-Jun-12,Comedy
The Presidio,10-Jun-88,"Action,Mystery,Thriller,Crime"
Chander Pahar (Mountains Of The Moon),10-Jan-14,Adventure
"Literally, Right Before Aaron",29-Sep-17,"Drama,Comedy"
Chloe and Theo,4-Sep-15,"Drama,Comedy"
30 Beats,20-Jul-12,"Comedy,Romance"
Nashville,11-Jun-75,"Drama,Comedy,Music"
Stagecoach,3-Mar-39,"Adventure,Drama,Western"
An American in Paris,11-Nov-51,"Drama,Romance,Musical"
